Timestamp,Latitude,Longitude,RedPixels,OrangePixels,GreenPixels
2025-06-12 11-06-34,13.0,80.19,1458,2851,18878
2025-06-12 11-06-34,13.0,80.2,1210,2283,18308
2025-06-12 11-06-34,13.0,80.21,2034,1916,17569
2025-06-12 11-06-34,13.0,80.22,2442,2171,12834
2025-06-12 11-06-34,13.0,80.23,2739,1685,12109
2025-06-12 11-06-34,13.0,80.24,2499,1783,8630
2025-06-12 11-06-34,13.0,80.25,1903,1622,8238
2025-06-12 11-06-34,13.0,80.26,1864,1791,6038
2025-06-12 11-06-34,13.0,80.27,1961,1644,4987
2025-06-12 11-06-34,13.0,80.28,1619,1458,3309
2025-06-12 11-06-34,13.0,80.29,969,753,1213
2025-06-12 11-06-34,13.0,80.3,819,1320,216
2025-06-12 11-06-34,13.0,80.31,682,703,211
2025-06-12 11-06-34,13.0,80.32,682,703,211
2025-06-12 11-06-34,13.0,80.33,299,703,211
2025-06-12 11-06-34,13.0,80.34,299,703,211
2025-06-12 11-06-34,13.0,80.35,299,703,211
2025-06-12 11-06-34,13.0,80.36,299,703,211
2025-06-12 11-06-34,13.0,80.37,299,703,211
2025-06-12 11-06-34,13.0,80.38,299,703,211
2025-06-12 11-06-34,13.0,80.39,299,703,211
2025-06-12 11-06-34,13.01,79.95,315,804,11421
2025-06-12 11-06-34,13.01,79.96,299,771,14117
2025-06-12 11-06-34,13.01,79.97,299,1133,14743
2025-06-12 11-06-34,13.01,79.98,299,1189,15540
2025-06-12 11-06-34,13.01,79.99,299,1428,15274
2025-06-12 11-06-34,13.01,80.0,299,1568,14549
2025-06-12 11-06-34,13.01,80.01,299,1625,13892
2025-06-12 11-06-34,13.01,80.02,299,1410,6649
2025-06-12 11-06-34,13.01,80.03,299,949,3262
2025-06-12 11-06-34,13.01,80.04,299,874,2866
2025-06-12 11-06-34,13.01,80.05,299,844,2913
2025-06-12 11-06-34,13.01,80.06,299,844,6649
2025-06-12 11-06-34,13.01,80.07,320,791,10910
2025-06-12 11-06-34,13.01,80.08,321,1173,13812
2025-06-12 11-06-34,13.01,80.09,320,1170,17878
2025-06-12 11-06-34,13.01,80.1,321,1527,19130
2025-06-12 11-06-34,13.01,80.11,319,1530,18982
2025-06-12 11-06-34,13.01,80.12,321,1560,18842
2025-06-12 11-06-34,13.01,80.13,354,1329,15956
2025-06-12 11-06-34,13.01,80.14,350,1205,12494
2025-06-12 11-06-34,13.01,80.15,742,936,9574
2025-06-12 11-06-34,13.01,80.16,925,1871,9827
2025-06-12 11-06-34,13.01,80.17,1114,2484,11058
2025-06-12 11-06-34,13.01,80.18,1671,2264,10471
2025-06-12 11-06-34,13.01,80.19,1465,2894,14636
2025-06-12 11-06-34,13.01,80.2,1743,2882,16524
2025-06-12 11-06-34,13.01,80.21,2118,2065,17814
2025-06-12 11-06-34,13.01,80.22,2572,2226,17800
2025-06-12 11-06-34,13.01,80.23,2919,1929,17186
2025-06-12 11-06-34,13.01,80.24,2752,2106,14308
2025-06-12 11-06-34,13.01,80.25,2926,1829,9870
2025-06-12 11-06-34,13.01,80.26,2819,1932,7152
2025-06-12 11-06-34,13.01,80.27,2518,1437,5838
2025-06-12 11-06-34,13.01,80.28,1968,936,2898
2025-06-12 11-06-34,13.01,80.29,797,1139,1428
2025-06-12 11-06-34,13.01,80.3,774,1209,449
2025-06-12 11-06-34,13.01,80.31,682,703,230
2025-06-12 11-06-34,13.01,80.32,682,703,211
2025-06-12 11-06-34,13.01,80.33,299,703,211
2025-06-12 11-06-34,13.01,80.34,299,703,211
2025-06-12 11-06-34,13.01,80.35,299,703,211
2025-06-12 11-06-34,13.01,80.36,299,703,211
2025-06-12 11-06-34,13.01,80.37,299,703,211
2025-06-12 11-06-34,13.01,80.38,299,703,211
2025-06-12 11-06-34,13.01,80.39,299,703,211
2025-06-12 11-06-34,13.02,79.95,299,707,12971
2025-06-12 11-06-34,13.02,79.96,299,711,11547
2025-06-12 11-06-34,13.02,79.97,299,916,10196
2025-06-12 11-06-34,13.02,79.98,299,966,10856
2025-06-12 11-06-34,13.02,79.99,299,1207,11645
2025-06-12 11-06-34,13.02,80.0,299,1472,16050
2025-06-12 11-06-34,13.02,80.01,299,1690,14155
2025-06-12 11-06-34,13.02,80.02,299,1635,10516
2025-06-12 11-06-34,13.02,80.03,299,1405,7464
2025-06-12 11-06-34,13.02,80.04,299,1394,4776
2025-06-12 11-06-34,13.02,80.05,299,921,3060
2025-06-12 11-06-34,13.02,80.06,299,813,5584
2025-06-12 11-06-34,13.02,80.07,299,771,8740
2025-06-12 11-06-34,13.02,80.08,299,1580,11299
2025-06-12 11-06-34,13.02,80.09,299,1848,11791
2025-06-12 11-06-34,13.02,80.1,299,2230,12349
2025-06-12 11-06-34,13.02,80.11,299,2168,15362
2025-06-12 11-06-34,13.02,80.12,299,2135,19203
2025-06-12 11-06-34,13.02,80.13,315,2392,18639
2025-06-12 11-06-34,13.02,80.14,465,2173,19995
2025-06-12 11-06-34,13.02,80.15,898,2194,18022
2025-06-12 11-06-34,13.02,80.16,1007,2387,15427
2025-06-12 11-06-34,13.02,80.17,1086,2461,13077
2025-06-12 11-06-34,13.02,80.18,1716,2916,12721
2025-06-12 11-06-34,13.02,80.19,1445,2632,14078
2025-06-12 11-06-34,13.02,80.2,2094,2943,17364
2025-06-12 11-06-34,13.02,80.21,2756,2820,15273
2025-06-12 11-06-34,13.02,80.22,4312,2991,14532
2025-06-12 11-06-34,13.02,80.23,4816,2489,15115
2025-06-12 11-06-34,13.02,80.24,4696,2234,12509
2025-06-12 11-06-34,13.02,80.25,4159,1819,9270
2025-06-12 11-06-34,13.02,80.26,3421,1666,6635
2025-06-12 11-06-34,13.02,80.27,2706,1496,5625
2025-06-12 11-06-34,13.02,80.28,1706,1025,3237
2025-06-12 11-06-34,13.02,80.29,975,1542,2032
2025-06-12 11-06-34,13.02,80.3,966,799,646
2025-06-12 11-06-34,13.02,80.31,967,878,744
2025-06-12 11-06-34,13.02,80.32,299,1119,211
2025-06-12 11-06-34,13.02,80.33,682,703,211
2025-06-12 11-06-34,13.02,80.34,299,703,211
2025-06-12 11-06-34,13.02,80.35,299,703,211
2025-06-12 11-06-34,13.02,80.36,299,703,211
2025-06-12 11-06-34,13.02,80.37,299,703,211
2025-06-12 11-06-34,13.02,80.38,299,703,211
2025-06-12 11-06-34,13.02,80.39,299,703,211
2025-06-12 11-06-34,13.03,79.95,299,1110,8740
2025-06-12 11-06-34,13.03,79.96,299,736,7009
2025-06-12 11-06-34,13.03,79.97,299,730,7593
2025-06-12 11-06-34,13.03,79.98,337,760,8365
2025-06-12 11-06-34,13.03,79.99,344,1018,9394
2025-06-12 11-06-34,13.03,80.0,299,1233,9821
2025-06-12 11-06-34,13.03,80.01,299,1463,9043
2025-06-12 11-06-34,13.03,80.02,299,1775,9656
2025-06-12 11-06-34,13.03,80.03,385,1919,9067
2025-06-12 11-06-34,13.03,80.04,387,2209,7827
2025-06-12 11-06-34,13.03,80.05,448,1565,7637
2025-06-12 11-06-34,13.03,80.06,451,1562,10538
2025-06-12 11-06-34,13.03,80.07,398,1244,10487
2025-06-12 11-06-34,13.03,80.08,359,1744,11873
2025-06-12 11-06-34,13.03,80.09,390,1677,9643
2025-06-12 11-06-34,13.03,80.1,342,1975,11463
2025-06-12 11-06-34,13.03,80.11,378,2300,14628
2025-06-12 11-06-34,13.03,80.12,327,1782,17224
2025-06-12 11-06-34,13.03,80.13,493,1775,14270
2025-06-12 11-06-34,13.03,80.14,624,2050,15714
2025-06-12 11-06-34,13.03,80.15,751,2349,17071
2025-06-12 11-06-34,13.03,80.16,892,2583,13995
2025-06-12 11-06-34,13.03,80.17,1104,2201,12094
2025-06-12 11-06-34,13.03,80.18,1876,2402,13161
2025-06-12 11-06-34,13.03,80.19,2282,3061,10573
2025-06-12 11-06-34,13.03,80.2,3242,3202,10095
2025-06-12 11-06-34,13.03,80.21,4186,2217,8694
2025-06-12 11-06-34,13.03,80.22,4633,2048,5579
2025-06-12 11-06-34,13.03,80.23,4868,2024,5770
2025-06-12 11-06-34,13.03,80.24,4887,1939,6717
2025-06-12 11-06-34,13.03,80.25,3842,2374,7823
2025-06-12 11-06-34,13.03,80.26,3518,1678,6817
2025-06-12 11-06-34,13.03,80.27,3126,1823,5442
2025-06-12 11-06-34,13.03,80.28,2258,1718,3822
2025-06-12 11-06-34,13.03,80.29,1348,1388,2399
2025-06-12 11-06-34,13.03,80.3,898,1388,1961
2025-06-12 11-06-34,13.03,80.31,1049,892,1096
2025-06-12 11-06-34,13.03,80.32,299,1119,211
2025-06-12 11-06-34,13.03,80.33,682,703,211
2025-06-12 11-06-34,13.03,80.34,299,703,211
2025-06-12 11-06-34,13.03,80.35,299,703,211
2025-06-12 11-06-34,13.03,80.36,299,703,211
2025-06-12 11-06-34,13.03,80.37,299,703,211
2025-06-12 11-06-34,13.03,80.38,299,703,211
2025-06-12 11-06-34,13.03,80.39,299,703,211
2025-06-12 11-06-34,13.04,79.95,299,703,4334
2025-06-12 11-06-34,13.04,79.96,299,703,2983
2025-06-12 11-06-34,13.04,79.97,299,703,2333
2025-06-12 11-06-34,13.04,79.98,299,703,2950
2025-06-12 11-06-34,13.04,79.99,299,764,3773
2025-06-12 11-06-34,13.04,80.0,299,789,3856
2025-06-12 11-06-34,13.04,80.01,299,1122,4900
2025-06-12 11-06-34,13.04,80.02,299,1397,5622
2025-06-12 11-06-34,13.04,80.03,385,1635,7209
2025-06-12 11-06-34,13.04,80.04,450,2009,10369
2025-06-12 11-06-34,13.04,80.05,550,1982,11618
2025-06-12 11-06-34,13.04,80.06,609,2132,14886
2025-06-12 11-06-34,13.04,80.07,561,2132,13506
2025-06-12 11-06-34,13.04,80.08,788,2211,14676
2025-06-12 11-06-34,13.04,80.09,893,2100,14956
2025-06-12 11-06-34,13.04,80.1,678,1860,15135
2025-06-12 11-06-34,13.04,80.11,566,1968,16172
